group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
2,ARHGDIB,-5.9712105,-0.46009454,2.3549973019082744e-09,7.0525971830832e-08,0.8629550321199143,0.9263012436665131
2,PPP1R2,-5.982026,-1.4205827,2.2037886918783787e-09,6.614272170613437e-08,0.14346895074946467,0.31229847996315063
2,LEPROTL1,-6.002452,-1.6100574,1.943595919605176e-09,5.846199532627375e-08,0.11777301927194861,0.29018885306310455
2,COX6C,-6.0138035,-0.88695747,1.812200608978556e-09,5.463004749715489e-08,0.33190578158458245,0.4762782128051589
2,ANAPC16,-6.0218735,-0.83629316,1.7240960672739336e-09,5.208906171392221e-08,0.3554603854389722,0.509442653155228
2,LITAF,-6.0267286,-1.3160204,1.6731132833099896e-09,5.066083147867233e-08,0.18201284796573874,0.33993551358820817
2,CYTIP,-6.0358033,-1.1839554,1.5817378386552197e-09,4.8000470943723734e-08,0.21199143468950749,0.3703362505757715
2,RAP1B,-6.0400896,-1.1252891,1.5402881215383667e-09,4.684671400384841e-08,0.2398286937901499,0.39014279134039614
2,NACA,-6.085462,-0.3414483,1.1615597025853718e-09,3.5725809230869e-08,0.9550321199143469,0.9760479041916168
2,DNAJB1,-6.112518,-1.4795734,9.80713110331919e-10,3.0300041254960825e-08,0.15417558886509636,0.32197144173192077
2,PTPRC,-6.144429,-0.88300264,8.025154499390639e-10,2.490716132810876e-08,0.3426124197002141,0.47996315062183326
2,TMBIM6,-6.1760726,-0.7883605,6.571571507006383e-10,2.053578501136823e-08,0.39186295503211993,0.5435283279594657
2,BTG2,-6.1928825,-1.1658787,5.907383954056046e-10,1.8545111557836633e-08,0.22698072805139186,0.39106402579456473
2,SON,-6.273046,-1.3602138,3.5405265986502743e-10,1.121796548286964e-08,0.16916488222698073,0.345923537540304
2,PRKCQ-AS1,-6.319356,-4.0641537,2.6265587919449896e-10,8.380440855794574e-09,0.017130620985010708,0.20128972823583602
2,UBE2D2,-6.3309417,-1.0121623,2.4366942873309983e-10,7.792856484260447e-09,0.284796573875803,0.4509442653155228
2,HSP90AA1,-6.35043,-0.8394666,2.147138145135001e-10,6.899133767050252e-09,0.41541755888650966,0.5633348687240903
2,TNFAIP8,-6.383446,-1.8023753,1.7314616938104082e-10,5.6030428650888474e-09,0.10706638115631692,0.2878857669276831
2,UBC,-6.387197,-0.5042791,1.6895416850076118e-10,5.480375593934429e-09,0.7987152034261242,0.8650391524643022
2,AQP3,-6.422222,-4.576949,1.3429912363684812e-10,4.366640077106662e-09,0.01284796573875803,0.20036849378166743
2,TRAT1,-6.474526,-3.947768,9.510995810052156e-11,3.1296905730619815e-09,0.017130620985010708,0.20681713496084753
2,ANXA6,-6.499372,-1.5620754,8.065592861654895e-11,2.666918550091023e-09,0.14989293361884368,0.327038231229848
2,MT-ND2,-6.5214725,-0.56554854,6.962056343621029e-11,2.313232151544739e-09,0.8329764453961456,0.9064947029018885
