Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes
GO_Molecular_Function_2021_fixed.gmt,magnesium ion binding (GO:0000287),1/146,0.5888471301968582,0.7123150768510381,1.6897844423617618,0.8948906958883605,PLSCR1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,metal ion binding (GO:0046872),7/517,0.035812200556417616,0.18299535174834494,2.5467846969368453,8.479434702914272,S100A10;ANXA2;ANXA5;TPM4;AIF1;GSN;PLSCR1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,metalloexopeptidase activity (GO:0008235),1/55,0.2836106507998182,0.4574365335480938,4.54628857381151,5.729018863812312,LAP3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,metallopeptidase activity (GO:0008237),1/121,0.5208873262102484,0.6600758830515844,2.044714621478107,1.3336068887922188,LAP3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,microtubule binding (GO:0008017),1/232,0.7576822322669148,0.8444934958839316,1.0542524430213416,0.29254577539220455,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,myosin II binding (GO:0045159),1/11,0.06441455918384115,0.2012954974495036,23.685314685314687,64.95497641616475,GSN,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,myosin binding (GO:0017022),1/56,0.28795203899461796,0.45949793456587973,4.463995463995464,5.557501792388693,GSN,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,non-membrane spanning protein tyrosine kinase activity (GO:0004715),1/35,0.19109068361062634,0.3538716363159747,7.193979933110368,11.906088444287368,SYK,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,nuclease activity (GO:0004518),3/60,0.0056313019066360544,0.06033537757110058,10.341257428839537,53.56165990624418,RNASE6;SAMHD1;PLSCR1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,nucleoside-triphosphatase activity (GO:0017111),1/278,0.8176647585259128,0.8684452730571868,0.876015876015876,0.17634449865075236,RAC1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)",1/5,0.029804109441472642,0.18299535174834494,55.29370629370629,194.25281690626042,PRDX3,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628)",1/18,0.1032568160577867,0.24200816263543753,14.202797202797203,32.24796283584579,BLVRB,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)",1/15,0.08680880778636799,0.22070035877890168,17.145647455992282,41.90477149018833,BLVRB,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)",1/20,0.11405949647687148,0.2554240074748541,12.743948359332975,27.667558790466398,ALDH2,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,pentosyltransferase activity (GO:0016763),1/38,0.20568474992377642,0.35875247079728445,6.616783216783217,10.46385126603198,TYMP,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,peptidase activator activity involved in apoptotic process (GO:0016505),1/17,0.09780687014372919,0.23662952454128028,15.064844246662428,35.02215420364226,CTSH,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,peptidase inhibitor activity (GO:0030414),3/40,0.0017718531992968654,0.02657779798945298,15.883453237410071,100.63325966231386,CST3;CSTB;SPINT2,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphatase binding (GO:0019902),1/114,0.4999493374352452,0.6464862122007482,2.172114229382952,1.5058149548575979,CD33,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphatidylinositol binding (GO:0035091),1/92,0.42809344751065337,0.5994028931779113,2.699415338759601,2.290221149553984,CCDC88A,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphatidylinositol bisphosphate binding (GO:1902936),3/94,0.01907753175977614,0.15897943133146783,6.479891496638754,25.655471425203313,ANXA2;CAPG;GSN,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,"phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)",3/75,0.010420964698004569,0.0995701632328402,8.19126767551476,37.384418690429854,ANXA2;CAPG;GSN,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phospholipase activity (GO:0004620),1/73,0.35790798550326275,0.5266166940169363,3.4123462744152397,3.506115329798528,PLD4,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phospholipase binding (GO:0043274),1/14,0.08126030434000668,0.22070035877890168,18.41724941724942,46.22909435586331,SYK,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phospholipase inhibitor activity (GO:0004859),2/10,0.0015650559438521205,0.02657779798945298,49.46391322486441,319.5286540170875,ANXA2;ANXA5,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phospholipid scramblase activity (GO:0017128),1/7,0.041478946396291516,0.18299535174834494,38.273803119956966,121.80903065936134,PLSCR1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphoric diester hydrolase activity (GO:0008081),1/36,0.19598451360642813,0.35850825659712465,6.990741652713484,11.392948935236179,PLD4,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphoric ester hydrolase activity (GO:0042578),1/53,0.274849420344482,0.45304849507332196,4.72027972027972,6.096391805767482,SAMHD1,5,GO_MF,100
GO_Molecular_Function_2021_fixed.gmt,phosphotyrosine residue binding (GO:0001784),1/37,0.200849145120742,0.35865918771561067,6.798639716447935,10.913184457796229,SYK,5,GO_MF,100
